	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH6_FDSW220017126-1r	BH8_FDSW220017128-1r	BH10_FDSW220017130-1r	BH12_FDSW220017132-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD13_FDSW220008400-2r	DY2_FDME210438600-1b	DY6_FDME210438604-1r	DY7_FDME210438605-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	ST1_FDME220007465-1r	ST3_L1	ST7_FDME220007471-1r	ST9_L1	ST10_L1	ST12_L1	ST13_L1	ST15_L1	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	XM2_FDME220007436-1r	XM4_FDME220007438-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	XM10_FDME220007444-1r	XM12_FDME220007446-1r	XM14_FDME220007448-1r	XM15_FDME220007449-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
HN_SY_2021_04_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.955202897	2.125337593	19.64858808	8.71398179	42.94584602	8.710333947	6.861501515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.134754695	1.782485088	0	0	0	0	0	4.579152672	1.55321027	4.85918296	6.172875596	5.240684602	5.676748497	6.215991679	5.728049312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.167366584	6.711034298	7.05951551	1.632858881	6.847778877	13.86593096	6.52817727	4.283752772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.986523557	0	0	0	0	0	0
JS_LYG_2021_05_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.42567172	26.89218022	22.86485775	7.474847875	1.808776533	30.92183773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.898475668	0	0	0	0	0	0	2.309592305	0	2.376675964	3.255036539	3.383010571	2.87457367	3.066267721	2.708314399	0	0	0	0	0	0	0	1.09227938	0	0	0	0	0	0	0	2.758876463	2.304842394	3.158822379	0	3.126560904	4.805522448	2.615958241	1.991803092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.374424286	11.58678052	5.566559304	8.654672033	13.10162129	8.898697651	8.935247409	10.75755424	0	1.257727691	0	0	0	0	0	0
GX_BH_2021_04_15_bin_1	13.39507904	16.84695608	17.36467268	22.72215045	9.275303752	16.83095129	12.81056697	16.20157104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.734220705	1.554717765	0	0	0	0	0	1.10925185	0	2.650393523	2.852394393	0	4.646508979	3.790315337	6.947330186	0	0	0	0	0	0	0	2.348941901	0	0	0	0	0	0	0	4.570776926	3.609704482	14.96272086	0	12.16462157	4.53756468	3.047795335	24.92971007	0	0	0	0	0	0.890617685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.088659366	5.680255701	2.061221942	1.842002937	4.672215028	4.58262539	4.703426624	4.129547573
ZJ_NB_2021_05_15_bin_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4632686	3.967788053	11.15833834	12.93345395	12.75409595	11.91404635	13.59261318	10.45466691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.761551736	5.244414209	6.443761014	1.272612443	5.445148747	9.733922341	5.247764126	2.825928344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.5826981	40.13535943	17.1785838	20.60717974	12.29151881	9.98334686	12.14001109	11.28693685
SD_QD_2020_10_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86623618	10.31227023	0	6.158825389	0	0	0	3.694288045	1.368397493	3.461983515	3.677067786	3.34267595	4.533962973	4.571639738	4.593346991	0	0	2.690842143	1.062133053	4.622392329	0	0	0	0	0	0	0	0	0	0	7.716395568	8.152667777	6.730386067	6.38547469	7.844827861	16.90995079	9.143485294	5.413993017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.825572561	16.25632559	0	1.055930964	1.36401282	1.109633139	1.305926115	1.267453188
ZJ_NB_2021_05_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.309607324	0	0	0	0	4.761386928	10.92592969	4.513432795	8.85019611	13.02045868	11.65162761	12.89937123	15.40178265	15.52159743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.65566032	12.48637642	8.722385316	6.247909046	10.68533792	22.79927327	12.65926808	8.509534215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_DY_2021_06_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2649938	55.06388644	29.33388726	41.29975415	18.33120108	31.97040772	29.22132282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.615320138	6.336630011	1.000651148	0.827364517	0	1.297972171	0	1.990418777	0.85926727	2.362581491	2.810089325	2.764177216	3.539750102	4.072127881	4.172380999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.868727503	8.901112973	11.13500443	8.665752624	7.113763259	13.26044525	7.493262432	5.159638778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.45522179	24.59142561	19.79567343	14.81676444	19.8123816	18.24026821	14.96446061	14.32474606
ZJ_NB_2021_05_15_bin_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.11098205	8.097563782	18.48476606	21.84025073	15.40984327	27.979778	34.61553003	41.45433494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.305132254	9.907581353	7.140933314	15.6928389	6.570680077	13.82767341	8.023782919	8.491204372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GX_BH_2021_04_15_bin_3	71.48012837	78.01504546	19.85847201	10.62758355	59.74143677	22.70014047	6.422220376	7.32055645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.918938567	14.5114332	3.521216596	5.922813822	9.33795252	2.383617049	58.27113051	8.674281937	3.979150858	6.95947714	10.48204841	8.920114214	9.836285666	11.44985902	9.906578382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.89899622	13.4520148	11.85814198	7.922362581	12.76298368	25.22896061	14.47031069	9.742256487	0	0	0	0	0	0	0	0	1.848638198	0.994136818	0	0.941222799	0	2.619347511	1.785195352	1.495648844	0	0	0	0	0	0	0	0	10.11983496	15.23427826	1.176246897	3.202127302	2.720044637	1.735995608	1.779406056	2.823554709
SD_QD_2023_07_40_ultra_bin_10	0	0	0	0	0	0	0	0	5.776137901	1.236557905	3.73682349	1.359447915	1.502261765	2.279449996	0	0	0	0	0	0	0	13.9874224	0	1.251645642	1.105523148	2.240486778	3.591284219	25.70202456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.61680953	4.216615803	5.62551882	1.428535278	5.664050024	2.368918576	1.060759018	0.97651742	1.42905704	1.318792319	1.146215958	0	1.786752635	4.403973093	0.98388461	0	30.3640237	13.94417904	12.1308122	10.97016245	15.46636715	52.34613371	17.74105781	34.6041407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.620555705	8.487390882	4.59678594	3.262991565	6.214181206	5.964728016	4.71529137	6.402239277
