	BH10_FDSW220017130	BH12_FDSW220017132	BH14_FDSW220017134	BH15_FDSW220017135	BH2_FDSW220017122	BH4_FDSW220017124	BH6_FDSW220017126	BH8_FDSW220017128	C1_FDSW202534412	CXD_0204_FDSW210423206	CXD_0209_FDSW210423211	CXD_0210_FDSW210423212	CXD_0213_FDSW210423215	CXD_0214_FDSW210423216	CXD_0215_FDSW210423217	CXD_0801_FDSW210423161	CXD_0802_FDSW210423162	CXD_0803_FDSW210423163	CXD_0804_FDSW210423164	CXD_0805_FDSW210423165	CXD_0807_FDSW210423167	CXD_1001_FDSW210423173	CXD_1003_FDSW210423175	CXD_1004_FDSW210423176	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1408_FDSW210423225	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236	CXD_1609_FDSW210423241	CXD_1610_FDSW210423242	CXD_1611_FDSW210423243	CXD_1612_FDSW210423244	CXD_1613_FDSW210423245	DD1_FDSW220008388	DD13_FDSW220008400	DD3_FDSW220008390	DD5_FDSW220008392	DD7_FDSW220008394	DD9_FDSW220008396	DY10_FDME210438608	DY11_FDME210438609	DY13_FDME210438611	DY15_FDME210438613	DY2_FDME210438600	DY6_FDME210438604	DY7_FDME210438605	E10_FDSW202534389	E100_FDSW202534392	E150_FDSW202534393	E20_FDSW202534390	E5_FDSW202534388	E50_FDSW202534391	LYG1_FDME210455382	LYG11_FDME210455392	LYG13_FDME210455394	LYG3_FDME210455384	LYG5_FDME210455386	LYG6_FDME210455387	LYG7_FDME210455388	N10_FDSW202534407	N100_FDSW202534410	N150_FDSW202534411	N20_FDSW202534408	N5_FDSW202534406	N50_FDSW202534409	NB1_FDME210455352	NB11_FDME210455362	NB12_FDME210455363	NB15_FDME210455366	NB2_FDME210455353	NB4_FDME210455355	NB6_FDME210455357	NB7_FDME210455358	S10_FDSW202534395	S100_FDSW202534398	S150_FDSW202534399	S20_FDSW202534396	S5_FDSW202534394	S50_FDSW202534397	ST1_FDME220007465	ST10_L1	ST12_L1	ST13_L1	ST15_L1	ST3_L1	ST7_FDME220007471	ST9_L1	SY11_FDME210455407	SY12_FDME210455408	SY13_FDME210455409	SY15_FDME210455411	SY3_FDME210455399	SY7_FDME210455403	SY9_FDME210455405	W10_FDSW202534401	W100_FDSW202534404	W150_FDSW202534405	W20_FDSW202534402	W5_FDSW202534400	W50_FDSW202534403	WZ1_L1	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471	WZ3_L1	WZ5_L1	WZ7_FDME210455463	XM10_FDME220007444	XM12_FDME220007446	XM14_FDME220007448	XM15_FDME220007449	XM2_FDME220007436	XM4_FDME220007438	XM6_FDME220007440	XM8_FDME220007442	YC1_FDME220007405	YC11_FDME220007415	YC13_FDME220007417	YC15_FDME220007419	YC3_FDME220007407	YC5_FDME220007409	YC7_FDME220007411	YC9_FDME220007413	ZH1_FDSW220008784	ZH11_FDSW220008794	ZH13_FDSW220008796	ZH15_FDSW220008798	ZH3_FDSW220008786	ZH5_FDSW220008788	ZH7_FDSW220008790	ZH9_FDSW220008792
SD_DY_2021_06_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.29975415	18.33120108	31.97040772	29.22132282	23.2649938	55.06388644	29.33388726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_1	0	0	0	0	0	0	0	0	0.972678808	0	0	0	0	0	0	0	0	0	0	0	0	0.993693461	1.007041542	0	0	0	1.444054294	1.557392458	0	0	1.968963364	1.644630973	1.561895308	0	0	0	0	2.518997977	2.076072477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.057508365	0	0	0.973870036	1.64811717	0.817456805	0	0	0	0	0	0	0	0	1.1672039	1.999729362	0	0.93505772	0	0	0	0	0	0	0	0	0	0.859027381	1.443645384	1.694977244	1.627767526	1.586126564	0.949880456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.428303251	0	0	1.307159451	0	0.993197665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_10	0	0	0	0	0	0	0	0	3.27922049	3.841480507	3.322232291	3.208123008	2.515217637	2.62341335	3.111108718	1.362350573	2.258120515	0.914302642	1.272742049	1.924141225	1.881283448	4.113280128	2.550948628	1.867589007	2.770273956	3.398187141	3.052530767	5.621688147	3.376295039	1.161249746	3.989244308	3.659431269	3.270071931	0	1.233454768	0	2.458343223	3.90899862	5.40698792	2.189168723	2.23895694	2.365759178	2.222169387	2.104875035	1.556639634	0	0	0	0	0	0	0	0	0	0	0	0	0	5.066819879	0	0	3.349662372	3.389058299	0	0	0	0	0	0	0	0	4.838337433	1.300882824	2.899496334	2.275753025	3.177119512	0	0	0	0	0	0	0	0	0	2.178824779	2.759391895	2.341638521	2.411253346	2.676656491	1.8504719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.028710091	4.645943707	2.233405547	3.119298494	2.811447794	2.731576471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_27	0	0	0	0	0	0	0	0	2.998801955	1.160466165	2.697212483	1.281813805	0	0.887223231	1.30164972	0	0	0	0	0	0	0	0	0	0	1.300892844	0.916920245	0	0	0.991282513	3.35127972	1.600212332	0	0	0	0	1.204349522	2.773653631	5.382936962	3.003696542	0	4.397382615	2.966155136	2.739574043	3.131569255	0	0	0	0	0	0	0	0	0	0	0	0	0	4.452852099	4.561683887	2.813252206	4.003972981	3.706561846	5.180674401	0	0	0	0	0	0	0	3.571043164	5.249075979	5.422589747	3.140103723	3.464770693	3.969533794	0	0	0	0	0	0	0	0	2.65821866	2.117134228	3.634617647	3.831370528	3.609710722	2.056958368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.849611631	2.629681024	0	2.457138723	3.318979009	2.667188187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_28	0	0	0	0	0	0	0	0	2.998902425	0	0	0	0	0	0	0	1.695794959	0.884512454	0	0	1.537027539	2.129932519	1.260794609	1.420700059	1.627966736	3.032416019	3.089549054	2.511316353	2.162764027	1.615068139	4.50772772	3.169647098	1.721121633	0	0	0	1.203321228	3.13882641	4.535228214	0	0	3.110999576	2.645911981	2.548286798	1.602768906	0	0	0	0	0	0	0	0	0	0	0	0	0	5.885207137	0	0	3.809979912	4.094153463	0	0	0	0	0	0	0	0	4.700688303	1.941123151	4.124214571	2.831945854	3.271687389	0	0	0	0	0	0	0	0	0	2.629041778	2.557956067	2.714097912	2.562220982	3.931446385	1.9475815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.047700827	3.810057667	2.050706754	3.031718138	3.594404896	2.91067658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_42	0	0	0	0	0	0	0	0	1.477132466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.702957198	0	0	0	1.445576606	2.11572569	1.669882515	0	0	0	4.20271847	4.998533165	3.7433436	0	0	1.245341658	0	0	1.375281815	0	0	0	0	0	0	0	0	0	0	0	0	0	1.302677418	0	0	0	1.181928958	1.135865694	0	0	0	0	0	0	0	1.129575584	1.82533991	3.0983798	0	1.611193385	0	0	0	0	0	0	0	0	0	1.035846272	11.45105208	4.133899446	2.391323213	0	4.825996604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.700201871	2.28847374	4.086010628	6.82535337	1.066275317	4.78114815	0	0	0.677551617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_46	0	0	0	0	0	0	0	0	2.776794987	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790656375	0	0	0	1.624130382	0	0	1.029889858	3.488094261	1.984306604	0	0	0	0	0	1.437968838	2.132822958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.120662843	0	1.823114596	4.415259034	4.733001457	0	0	0	0	0	0	0	0	4.323830286	0	4.384976715	1.056618668	2.615209104	0	0	0	0	0	0	0	0	0	2.576999122	1.077535192	1.402520916	2.869793125	3.278363608	1.648440397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61573593	1.763348486	0	2.336798015	2.608822407	2.056468639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_5	0	0	0	0	0	0	0	0	3.261817569	1.908213804	1.523896287	1.868369606	1.175613046	1.712147245	1.922469141	1.074941377	3.262922347	0	1.475957311	0.856576662	1.3051686	1.972233766	2.180651765	1.031926912	1.114550505	1.5241862	2.767245169	2.594604269	2.09793628	1.24163095	3.229626493	2.754867364	1.492379229	0	0	0	1.593349082	2.698330018	3.63092502	0	0.849089479	3.283390659	2.707102397	3.178356998	2.483380375	0	0	0	0	0	0	0	0	0	0	0	0	0	5.259330676	1.054011665	1.827461856	3.571403051	3.702975538	1.413731102	0	0	0	0	0	0	0	3.762286672	2.664601899	4.571727373	2.311156107	3.218022876	0	0	0	0	0	0	0	0	0	2.653275279	1.970635484	2.715842963	2.661404782	3.329391987	1.783903412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.296338324	3.212693217	1.540793625	2.840390267	2.495405366	2.462805532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_8	0	0	0	0	0	0	0	0	4.47005972	0	1.032239272	1.08404554	1.012552244	1.085918034	0	0	1.624858585	0	0	0	0	0	2.338046811	0	1.617659839	2.135879369	2.815607806	2.116121365	1.94635667	3.501621661	8.083722726	6.663737119	3.21036417	0	1.137749678	0	4.668649223	5.656964843	5.457254664	3.261933765	0.835413174	10.2955787	8.462221183	7.143663324	8.606946316	0	0	0	0	0	0	0	0	0	0	0	0	0	8.080551604	1.79221617	2.61532176	4.615375431	7.373803006	1.557432234	0	0	4.372260821	0	0	0	2.029995977	4.516787211	4.184831981	10.80290146	3.583504219	4.191787807	1.224317388	0	0	0	0	0	0	0	0	4.547883462	3.855415393	6.571134278	5.803112586	5.972601396	4.080158995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.873201477	3.974512858	1.988328836	5.646609453	4.23722853	4.942947314	0	0	0	0	0	0	0	0	0	2.43404073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_08_15_bin_2	0	0	0	0	0	0	0	0	0	7.194042977	0	0	0	0	0	0	8.739852995	63.51999769	16.41006617	4.63287755	6.342484627	0	2.892517216	10.12494667	1.567788718	7.091839342	1.978695849	1.416760817	0	0	0	0.980721508	0	0	0	0	0	2.66782745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.316000821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.334552437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_10_15_bin_4	0	0	0	0	0	0	0	0	1.570346684	5.240195457	5.050414691	3.217138421	3.637214992	4.683880035	6.487623059	1.55190205	1.667299091	5.825792981	4.726849243	6.374251112	6.530268237	31.03157791	11.64446927	11.07489095	10.98643046	23.08939857	25.41119729	29.87813243	22.09790442	4.845133385	13.54202534	17.87453155	38.18297959	0	1.980803047	0	7.825572561	16.25632559	12.39113141	0	1.055930964	1.36401282	1.109633139	1.305926115	1.267453188	0	0	0	0	0	0	0	0	0	0	0	0	0	0.893213913	0	0	0	1.17323242	0	3.86623618	0	0	10.31227023	0	6.158825389	0	0	0	0	0	2.433213308	0	3.694288045	4.533962973	4.571639738	4.593346991	1.368397493	3.461983515	3.677067786	3.34267595	0	3.597191546	1.506381249	1.761852557	0	2.257287476	0	0	0	0	0	0	0	0	1.062133053	4.622392329	0	0	0	0	2.690842143	1.310850323	2.809564819	3.645963068	2.897539274	1.279157391	2.091967618	7.716395568	7.844827861	16.90995079	9.143485294	5.413993017	8.152667777	6.730386067	6.38547469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_10_15_bin_7	0	0	0	0	0	0	0	0	1.175406926	2.340609796	2.318287892	4.153763907	7.073246931	8.05274329	9.783883689	0	0	1.02550709	0	1.805091821	0	11.26832487	7.426901456	4.460514573	3.244647493	10.40405351	14.59018162	8.449748223	5.652840659	2.003755781	6.165994349	10.01518033	18.54640351	0	1.451734341	0	10.19313206	9.179847585	7.203331204	0	0	7.881614704	4.143521147	4.269912576	8.25216269	0	0	0	0	0	0	0	0	0	0	0	0	0	1.018086067	0	0	0	1.300467943	0.924589234	0	0	0	0	0	0	0	0	1.803896036	2.470361893	0	1.665753281	0	0	0	0	0	0	0	0	0	0	2.36450756	2.279792188	1.541752052	0	1.638336598	0	0	0	0	0	0	0	0	0	1.493114632	0	0	0	0	1.757947381	1.124430666	1.187312834	1.6932074	2.039299918	1.061839772	2.237974445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_3	0	0	0	0	0	0	0	0	1.930391995	6.260904498	8.592899501	3.905072972	4.298873584	5.636941336	7.334423453	1.414376552	3.961380586	5.645853684	4.912904081	5.317646643	7.148980498	22.77189833	8.311443656	8.376535622	15.10457926	20.15626355	25.39797555	19.29963521	14.70396687	6.05435192	18.15160757	19.57237214	25.19676482	0	2.802282532	0	10.11983496	15.23427826	11.77082567	1.176246897	3.202127302	2.720044637	1.735995608	1.779406056	2.823554709	0	0	0	0	0	0	0	0	0	0	0	0	0	1.959065839	0	0	1.009022872	1.975880946	0	9.918938567	2.383617049	58.27113051	14.5114332	3.521216596	5.922813822	9.33795252	1.625198352	1.104029183	1.907529423	0	3.163729255	0	8.674281937	9.836285666	11.44985902	9.906578382	3.979150858	6.95947714	10.48204841	8.920114214	1.823528692	3.884064682	3.09040475	2.012645075	0.918387168	3.132852722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.748548396	4.218555894	4.271504494	3.751373657	1.962708879	2.619154894	13.89899622	12.76298368	25.22896061	14.47031069	9.742256487	13.4520148	11.85814198	7.922362581	0	0	0	0	0	0	0	0	1.848638198	2.619347511	1.785195352	1.495648844	0.994136818	0	0.941222799	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_7	0	0	0	0	0	0	0	0	1.920026407	3.400724537	2.662639283	4.132300731	3.36252742	3.389142103	5.285687166	0	0	2.505975012	1.683139124	2.246584071	1.83994208	8.154234764	5.705550779	4.480000145	6.1205186	10.26346653	8.731286755	6.690000354	4.551215004	1.954802772	5.407462434	7.895901408	15.36530742	0	0.976356875	0	5.763873234	8.049623638	5.84706602	0	1.487990063	2.768063052	1.480173078	1.791900238	3.312839762	0	0	0	0	0	0	0	0	0	0	0	0	0	1.619929397	0	0	0	1.28297565	0	0	0	0	0	0	0	0	1.077909855	0.986267144	2.008437628	1.147758425	1.874708569	0	0	0	0	0	0	0	0	0	0.930669818	3.064796752	2.491852451	1.845997218	1.013528335	2.230617973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.170849898	2.26712517	2.553526054	3.080761057	1.490013432	2.405479712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
